,eigval1,eigval2,m_e,b_e,m_w,b_w,perp
621,(1+5j),(6+4j),4,1,5,1,True
622,(1+5j),(6+5j),0,5,-1,0.0,True
623,(1+5j),(6+6j),3,2,2,2,True
624,(1+6j),0j,6,0,1,6,True
625,(1+6j),1j,5,1,4,5,True
626,(1+6j),2j,4,2,5,5,True
627,(1+6j),3j,3,3,2,0,True
628,(1+6j),4j,2,4,3,0,True
629,(1+6j),5j,1,5,6,6,True
630,(1+6j),6j,0,6,-1,4.0,True
631,(1+6j),(1+0j),-1,1,0,3,True
632,(1+6j),(1+1j),-1,1,0,0,True
633,(1+6j),(1+2j),-1,1,0,4,True
634,(1+6j),(1+3j),-1,1,0,1,True
635,(1+6j),(1+4j),-1,1,0,5,True
636,(1+6j),(1+5j),-1,1,0,2,True
637,(1+6j),(2+0j),1,5,6,1,True
638,(1+6j),(2+1j),2,4,3,6,True
639,(1+6j),(2+2j),3,3,2,1,True
640,(1+6j),(2+3j),4,2,5,4,True
641,(1+6j),(2+4j),5,1,4,6,True
642,(1+6j),(2+5j),6,0,1,4,True
643,(1+6j),(2+6j),0,6,-1,5.0,True
644,(1+6j),(3+0j),4,2,5,0,True
645,(1+6j),(3+1j),1,5,6,2,True
646,(1+6j),(3+2j),5,1,4,3,True
647,(1+6j),(3+3j),2,4,3,2,True
648,(1+6j),(3+4j),6,0,1,3,True
649,(1+6j),(3+5j),3,3,2,5,True
650,(1+6j),(3+6j),0,6,-1,2.0,True
651,(1+6j),(4+0j),5,1,4,0,True
652,(1+6j),(4+1j),3,3,2,2,True
653,(1+6j),(4+2j),1,5,6,3,True
654,(1+6j),(4+3j),6,0,1,2,True
655,(1+6j),(4+4j),4,2,5,3,True
656,(1+6j),(4+5j),2,4,3,5,True
657,(1+6j),(4+6j),0,6,-1,6.0,True
658,(1+6j),(5+0j),2,4,3,1,True
659,(1+6j),(5+1j),4,2,5,6,True
660,(1+6j),(5+2j),6,0,1,1,True
661,(1+6j),(5+3j),1,5,6,4,True
662,(1+6j),(5+4j),3,3,2,6,True
663,(1+6j),(5+5j),5,1,4,4,True
664,(1+6j),(5+6j),0,6,-1,3.0,True
665,(1+6j),(6+0j),3,3,2,3,True
666,(1+6j),(6+1j),6,0,1,0,True
667,(1+6j),(6+2j),2,4,3,4,True
668,(1+6j),(6+3j),5,1,4,1,True
669,(1+6j),(6+4j),1,5,6,5,True
670,(1+6j),(6+5j),4,2,5,2,True
671,(1+6j),(6+6j),0,6,-1,0.0,True
672,(2+0j),0j,0,0,-1,1.0,True
673,(2+0j),1j,3,1,2,2,True
674,(2+0j),2j,6,2,1,0,True
675,(2+0j),3j,2,3,3,2,True
676,(2+0j),4j,5,4,4,5,True
677,(2+0j),5j,1,5,6,0,True
678,(2+0j),6j,4,6,5,5,True
679,(2+0j),(1+0j),0,0,-1,5.0,True
680,(2+0j),(1+1j),6,2,1,6,True
681,(2+0j),(1+2j),5,4,4,2,True
682,(2+0j),(1+3j),4,6,5,1,True
683,(2+0j),(1+4j),3,1,2,6,True
684,(2+0j),(1+5j),2,3,3,5,True
685,(2+0j),(1+6j),1,5,6,1,True
686,(2+0j),(2+1j),-1,2,0,4,True
687,(2+0j),(2+2j),-1,2,0,1,True
688,(2+0j),(2+3j),-1,2,0,5,True
689,(2+0j),(2+4j),-1,2,0,2,True
690,(2+0j),(2+5j),-1,2,0,6,True
691,(2+0j),(2+6j),-1,2,0,3,True
692,(2+0j),(3+0j),0,0,-1,6.0,True
693,(2+0j),(3+1j),1,5,6,3,True
694,(2+0j),(3+2j),2,3,3,4,True
695,(2+0j),(3+3j),3,1,2,0,True
696,(2+0j),(3+4j),4,6,5,0,True
697,(2+0j),(3+5j),5,4,4,3,True
698,(2+0j),(3+6j),6,2,1,4,True
699,(2+0j),(4+0j),0,0,-1,3.0,True
700,(2+0j),(4+1j),4,6,5,3,True
701,(2+0j),(4+2j),1,5,6,4,True
702,(2+0j),(4+3j),5,4,4,0,True
703,(2+0j),(4+4j),2,3,3,0,True
704,(2+0j),(4+5j),6,2,1,3,True
705,(2+0j),(4+6j),3,1,2,4,True
706,(2+0j),(5+0j),0,0,-1,0.0,True
707,(2+0j),(5+1j),5,4,4,4,True
708,(2+0j),(5+2j),3,1,2,1,True
709,(2+0j),(5+3j),1,5,6,5,True
710,(2+0j),(5+4j),6,2,1,2,True
711,(2+0j),(5+5j),4,6,5,6,True
712,(2+0j),(5+6j),2,3,3,3,True
713,(2+0j),(6+0j),0,0,-1,4.0,True
714,(2+0j),(6+1j),2,3,3,6,True
715,(2+0j),(6+2j),4,6,5,2,True
716,(2+0j),(6+3j),6,2,1,1,True
717,(2+0j),(6+4j),1,5,6,6,True
718,(2+0j),(6+5j),3,1,2,5,True
719,(2+0j),(6+6j),5,4,4,1,True
720,(2+1j),0j,4,0,5,6,True
721,(2+1j),1j,0,1,-1,1.0,True
722,(2+1j),2j,3,2,2,3,True
723,(2+1j),3j,6,3,1,1,True
724,(2+1j),4j,2,4,3,3,True
725,(2+1j),5j,5,5,4,6,True
726,(2+1j),6j,1,6,6,1,True
727,(2+1j),(1+0j),1,6,6,2,True
728,(2+1j),(1+1j),0,1,-1,5.0,True
729,(2+1j),(1+2j),6,3,1,0,True
730,(2+1j),(1+3j),5,5,4,3,True
731,(2+1j),(1+4j),4,0,5,2,True
732,(2+1j),(1+5j),3,2,2,0,True
733,(2+1j),(1+6j),2,4,3,6,True
734,(2+1j),(2+0j),-1,2,0,4,True
735,(2+1j),(2+2j),-1,2,0,5,True
736,(2+1j),(2+3j),-1,2,0,2,True
737,(2+1j),(2+4j),-1,2,0,6,True
738,(2+1j),(2+5j),-1,2,0,3,True
739,(2+1j),(2+6j),-1,2,0,0,True
740,(2+1j),(3+0j),6,3,1,5,True
741,(2+1j),(3+1j),0,1,-1,6.0,True
742,(2+1j),(3+2j),1,6,6,4,True
743,(2+1j),(3+3j),2,4,3,5,True
744,(2+1j),(3+4j),3,2,2,1,True
745,(2+1j),(3+5j),4,0,5,1,True
746,(2+1j),(3+6j),5,5,4,4,True
747,(2+1j),(4+0j),3,2,2,5,True
748,(2+1j),(4+1j),0,1,-1,3.0,True
749,(2+1j),(4+2j),4,0,5,4,True
750,(2+1j),(4+3j),1,6,6,5,True
751,(2+1j),(4+4j),5,5,4,1,True
752,(2+1j),(4+5j),2,4,3,1,True
753,(2+1j),(4+6j),6,3,1,4,True
754,(2+1j),(5+0j),2,4,3,4,True
755,(2+1j),(5+1j),0,1,-1,0.0,True
756,(2+1j),(5+2j),5,5,4,5,True
757,(2+1j),(5+3j),3,2,2,2,True
758,(2+1j),(5+4j),1,6,6,6,True
759,(2+1j),(5+5j),6,3,1,3,True
760,(2+1j),(5+6j),4,0,5,0,True
761,(2+1j),(6+0j),5,5,4,2,True
762,(2+1j),(6+1j),0,1,-1,4.0,True
763,(2+1j),(6+2j),2,4,3,0,True
764,(2+1j),(6+3j),4,0,5,3,True
765,(2+1j),(6+4j),6,3,1,2,True
766,(2+1j),(6+5j),1,6,6,0,True
767,(2+1j),(6+6j),3,2,2,6,True
768,(2+2j),0j,1,0,6,2,True
769,(2+2j),1j,4,1,5,0,True
770,(2+2j),2j,0,2,-1,1.0,True
771,(2+2j),3j,3,3,2,4,True
772,(2+2j),4j,6,4,1,2,True
773,(2+2j),5j,2,5,3,4,True
774,(2+2j),6j,5,6,4,0,True
775,(2+2j),(1+0j),2,5,3,0,True
776,(2+2j),(1+1j),1,0,6,3,True
777,(2+2j),(1+2j),0,2,-1,5.0,True
778,(2+2j),(1+3j),6,4,1,1,True
779,(2+2j),(1+4j),5,6,4,4,True
780,(2+2j),(1+5j),4,1,5,3,True
781,(2+2j),(1+6j),3,3,2,1,True
782,(2+2j),(2+0j),-1,2,0,1,True
783,(2+2j),(2+1j),-1,2,0,5,True
784,(2+2j),(2+3j),-1,2,0,6,True
785,(2+2j),(2+4j),-1,2,0,3,True
786,(2+2j),(2+5j),-1,2,0,0,True
787,(2+2j),(2+6j),-1,2,0,4,True
788,(2+2j),(3+0j),5,6,4,5,True
789,(2+2j),(3+1j),6,4,1,6,True
790,(2+2j),(3+2j),0,2,-1,6.0,True
791,(2+2j),(3+3j),1,0,6,5,True
792,(2+2j),(3+4j),2,5,3,6,True
793,(2+2j),(3+5j),3,3,2,2,True
794,(2+2j),(3+6j),4,1,5,2,True
795,(2+2j),(4+0j),6,4,1,5,True
796,(2+2j),(4+1j),3,3,2,6,True
797,(2+2j),(4+2j),0,2,-1,3.0,True
798,(2+2j),(4+3j),4,1,5,5,True
799,(2+2j),(4+4j),1,0,6,6,True
800,(2+2j),(4+5j),5,6,4,2,True
801,(2+2j),(4+6j),2,5,3,2,True
802,(2+2j),(5+0j),4,1,5,1,True
803,(2+2j),(5+1j),2,5,3,5,True
804,(2+2j),(5+2j),0,2,-1,0.0,True
805,(2+2j),(5+3j),5,6,4,6,True
806,(2+2j),(5+4j),3,3,2,3,True
807,(2+2j),(5+5j),1,0,6,0,True
808,(2+2j),(5+6j),6,4,1,4,True
809,(2+2j),(6+0j),3,3,2,0,True
810,(2+2j),(6+1j),5,6,4,3,True
811,(2+2j),(6+2j),0,2,-1,4.0,True
812,(2+2j),(6+3j),2,5,3,1,True
813,(2+2j),(6+4j),4,1,5,4,True
814,(2+2j),(6+5j),6,4,1,3,True
815,(2+2j),(6+6j),1,0,6,1,True
816,(2+3j),0j,5,0,4,1,True
817,(2+3j),1j,1,1,6,3,True
818,(2+3j),2j,4,2,5,1,True
819,(2+3j),3j,0,3,-1,1.0,True
820,(2+3j),4j,3,4,2,5,True
821,(2+3j),5j,6,5,1,3,True
822,(2+3j),6j,2,6,3,5,True
823,(2+3j),(1+0j),3,4,2,2,True
824,(2+3j),(1+1j),2,6,3,1,True
825,(2+3j),(1+2j),1,1,6,4,True
826,(2+3j),(1+3j),0,3,-1,5.0,True
827,(2+3j),(1+4j),6,5,1,2,True
828,(2+3j),(1+5j),5,0,4,5,True
829,(2+3j),(1+6j),4,2,5,4,True
830,(2+3j),(2+0j),-1,2,0,5,True
831,(2+3j),(2+1j),-1,2,0,2,True
832,(2+3j),(2+2j),-1,2,0,6,True
833,(2+3j),(2+4j),-1,2,0,0,True
834,(2+3j),(2+5j),-1,2,0,4,True
835,(2+3j),(2+6j),-1,2,0,1,True
836,(2+3j),(3+0j),4,2,5,3,True
837,(2+3j),(3+1j),5,0,4,6,True
838,(2+3j),(3+2j),6,5,1,0,True
839,(2+3j),(3+3j),0,3,-1,6.0,True
840,(2+3j),(3+4j),1,1,6,6,True
841,(2+3j),(3+5j),2,6,3,0,True
842,(2+3j),(3+6j),3,4,2,3,True
843,(2+3j),(4+0j),2,6,3,3,True
844,(2+3j),(4+1j),6,5,1,6,True
845,(2+3j),(4+2j),3,4,2,0,True
846,(2+3j),(4+3j),0,3,-1,3.0,True
847,(2+3j),(4+4j),4,2,5,6,True
848,(2+3j),(4+5j),1,1,6,0,True
849,(2+3j),(4+6j),5,0,4,3,True
850,(2+3j),(5+0j),6,5,1,5,True
851,(2+3j),(5+1j),4,2,5,2,True
852,(2+3j),(5+2j),2,6,3,6,True
853,(2+3j),(5+3j),0,3,-1,0.0,True
854,(2+3j),(5+4j),5,0,4,0,True
855,(2+3j),(5+5j),3,4,2,4,True
856,(2+3j),(5+6j),1,1,6,1,True
857,(2+3j),(6+0j),1,1,6,2,True
858,(2+3j),(6+1j),3,4,2,1,True
859,(2+3j),(6+2j),5,0,4,4,True
860,(2+3j),(6+3j),0,3,-1,4.0,True
861,(2+3j),(6+4j),2,6,3,2,True
862,(2+3j),(6+5j),4,2,5,5,True
863,(2+3j),(6+6j),6,5,1,4,True
864,(2+4j),0j,2,0,3,6,True
865,(2+4j),1j,5,1,4,2,True
866,(2+4j),2j,1,2,6,4,True
867,(2+4j),3j,4,3,5,2,True
868,(2+4j),4j,0,4,-1,1.0,True
869,(2+4j),5j,3,5,2,6,True
870,(2+4j),6j,6,6,1,4,True
871,(2+4j),(1+0j),4,3,5,5,True
872,(2+4j),(1+1j),3,5,2,3,True
873,(2+4j),(1+2j),2,0,3,2,True
874,(2+4j),(1+3j),1,2,6,5,True
875,(2+4j),(1+4j),0,4,-1,5.0,True
876,(2+4j),(1+5j),6,6,1,3,True
877,(2+4j),(1+6j),5,1,4,6,True
878,(2+4j),(2+0j),-1,2,0,2,True
879,(2+4j),(2+1j),-1,2,0,6,True
880,(2+4j),(2+2j),-1,2,0,3,True
881,(2+4j),(2+3j),-1,2,0,0,True
882,(2+4j),(2+5j),-1,2,0,1,True
883,(2+4j),(2+6j),-1,2,0,5,True
884,(2+4j),(3+0j),3,5,2,4,True
885,(2+4j),(3+1j),4,3,5,4,True
886,(2+4j),(3+2j),5,1,4,0,True
887,(2+4j),(3+3j),6,6,1,1,True
888,(2+4j),(3+4j),0,4,-1,6.0,True
889,(2+4j),(3+5j),1,2,6,0,True
890,(2+4j),(3+6j),2,0,3,1,True
891,(2+4j),(4+0j),5,1,4,4,True
892,(2+4j),(4+1j),2,0,3,4,True
893,(2+4j),(4+2j),6,6,1,0,True
894,(2+4j),(4+3j),3,5,2,1,True
895,(2+4j),(4+4j),0,4,-1,3.0,True
896,(2+4j),(4+5j),4,3,5,0,True
897,(2+4j),(4+6j),1,2,6,1,True
898,(2+4j),(5+0j),1,2,6,2,True
899,(2+4j),(5+1j),6,6,1,6,True
900,(2+4j),(5+2j),4,3,5,3,True
901,(2+4j),(5+3j),2,0,3,0,True
902,(2+4j),(5+4j),0,4,-1,0.0,True
903,(2+4j),(5+5j),5,1,4,1,True
904,(2+4j),(5+6j),3,5,2,5,True
905,(2+4j),(6+0j),6,6,1,5,True
906,(2+4j),(6+1j),1,2,6,3,True
907,(2+4j),(6+2j),3,5,2,2,True
908,(2+4j),(6+3j),5,1,4,5,True
909,(2+4j),(6+4j),0,4,-1,4.0,True
910,(2+4j),(6+5j),2,0,3,3,True
911,(2+4j),(6+6j),4,3,5,6,True
912,(2+5j),0j,6,0,1,5,True
913,(2+5j),1j,2,1,3,0,True
914,(2+5j),2j,5,2,4,3,True
915,(2+5j),3j,1,3,6,5,True
916,(2+5j),4j,4,4,5,3,True
917,(2+5j),5j,0,5,-1,1.0,True
918,(2+5j),6j,3,6,2,0,True
919,(2+5j),(1+0j),5,2,4,0,True
920,(2+5j),(1+1j),4,4,5,6,True
921,(2+5j),(1+2j),3,6,2,4,True
922,(2+5j),(1+3j),2,1,3,3,True
923,(2+5j),(1+4j),1,3,6,6,True
924,(2+5j),(1+5j),0,5,-1,5.0,True
925,(2+5j),(1+6j),6,0,1,4,True
926,(2+5j),(2+0j),-1,2,0,6,True
927,(2+5j),(2+1j),-1,2,0,3,True
928,(2+5j),(2+2j),-1,2,0,0,True
929,(2+5j),(2+3j),-1,2,0,4,True
930,(2+5j),(2+4j),-1,2,0,1,True
931,(2+5j),(2+6j),-1,2,0,2,True
932,(2+5j),(3+0j),2,1,3,2,True
933,(2+5j),(3+1j),3,6,2,5,True
934,(2+5j),(3+2j),4,4,5,5,True
935,(2+5j),(3+3j),5,2,4,1,True
936,(2+5j),(3+4j),6,0,1,2,True
937,(2+5j),(3+5j),0,5,-1,6.0,True
938,(2+5j),(3+6j),1,3,6,1,True
939,(2+5j),(4+0j),1,3,6,2,True
940,(2+5j),(4+1j),5,2,4,5,True
941,(2+5j),(4+2j),2,1,3,5,True
942,(2+5j),(4+3j),6,0,1,1,True
943,(2+5j),(4+4j),3,6,2,2,True
944,(2+5j),(4+5j),0,5,-1,3.0,True
945,(2+5j),(4+6j),4,4,5,1,True
946,(2+5j),(5+0j),3,6,2,6,True
947,(2+5j),(5+1j),1,3,6,3,True
948,(2+5j),(5+2j),6,0,1,0,True
949,(2+5j),(5+3j),4,4,5,4,True
950,(2+5j),(5+4j),2,1,3,1,True
951,(2+5j),(5+5j),0,5,-1,0.0,True
952,(2+5j),(5+6j),5,2,4,2,True
953,(2+5j),(6+0j),4,4,5,0,True
954,(2+5j),(6+1j),6,0,1,6,True
955,(2+5j),(6+2j),1,3,6,4,True
956,(2+5j),(6+3j),3,6,2,3,True
957,(2+5j),(6+4j),5,2,4,6,True
958,(2+5j),(6+5j),0,5,-1,4.0,True
959,(2+5j),(6+6j),2,1,3,4,True
960,(2+6j),0j,3,0,2,1,True
961,(2+6j),1j,6,1,1,6,True
962,(2+6j),2j,2,2,3,1,True
963,(2+6j),3j,5,3,4,4,True
964,(2+6j),4j,1,4,6,6,True
965,(2+6j),5j,4,5,5,4,True
966,(2+6j),6j,0,6,-1,1.0,True
967,(2+6j),(1+0j),6,1,1,5,True
968,(2+6j),(1+1j),5,3,4,1,True
969,(2+6j),(1+2j),4,5,5,0,True
970,(2+6j),(1+3j),3,0,2,5,True
971,(2+6j),(1+4j),2,2,3,4,True
972,(2+6j),(1+5j),1,4,6,0,True
973,(2+6j),(1+6j),0,6,-1,5.0,True
974,(2+6j),(2+0j),-1,2,0,3,True
975,(2+6j),(2+1j),-1,2,0,0,True
976,(2+6j),(2+2j),-1,2,0,4,True
977,(2+6j),(2+3j),-1,2,0,1,True
978,(2+6j),(2+4j),-1,2,0,5,True
979,(2+6j),(2+5j),-1,2,0,2,True
980,(2+6j),(3+0j),1,4,6,2,True
981,(2+6j),(3+1j),2,2,3,3,True
982,(2+6j),(3+2j),3,0,2,6,True
983,(2+6j),(3+3j),4,5,5,6,True
984,(2+6j),(3+4j),5,3,4,2,True
985,(2+6j),(3+5j),6,1,1,3,True
986,(2+6j),(3+6j),0,6,-1,6.0,True
987,(2+6j),(4+0j),4,5,5,2,True
988,(2+6j),(4+1j),1,4,6,3,True
989,(2+6j),(4+2j),5,3,4,6,True
990,(2+6j),(4+3j),2,2,3,6,True
991,(2+6j),(4+4j),6,1,1,2,True
992,(2+6j),(4+5j),3,0,2,3,True
993,(2+6j),(4+6j),0,6,-1,3.0,True
994,(2+6j),(5+0j),5,3,4,3,True
995,(2+6j),(5+1j),3,0,2,0,True
996,(2+6j),(5+2j),1,4,6,4,True
997,(2+6j),(5+3j),6,1,1,1,True
998,(2+6j),(5+4j),4,5,5,5,True
999,(2+6j),(5+5j),2,2,3,2,True
1000,(2+6j),(5+6j),0,6,-1,0.0,True
1001,(2+6j),(6+0j),2,2,3,5,True
1002,(2+6j),(6+1j),4,5,5,1,True
1003,(2+6j),(6+2j),6,1,1,0,True
1004,(2+6j),(6+3j),1,4,6,5,True
1005,(2+6j),(6+4j),3,0,2,4,True
1006,(2+6j),(6+5j),5,3,4,0,True
1007,(2+6j),(6+6j),0,6,-1,4.0,True
1008,(3+0j),0j,0,0,-1,5.0,True
1009,(3+0j),1j,2,1,3,3,True
1010,(3+0j),2j,4,2,5,4,True
1011,(3+0j),3j,6,3,1,0,True
1012,(3+0j),4j,1,4,6,0,True
1013,(3+0j),5j,3,5,2,3,True
1014,(3+0j),6j,5,6,4,4,True
1015,(3+0j),(1+0j),0,0,-1,2.0,True
1016,(3+0j),(1+1j),3,5,2,0,True
1017,(3+0j),(1+2j),6,3,1,6,True
1018,(3+0j),(1+3j),2,1,3,6,True
1019,(3+0j),(1+4j),5,6,4,1,True
1020,(3+0j),(1+5j),1,4,6,1,True
1021,(3+0j),(1+6j),4,2,5,0,True
1022,(3+0j),(2+0j),0,0,-1,6.0,True
1023,(3+0j),(2+1j),6,3,1,5,True
1024,(3+0j),(2+2j),5,6,4,5,True
1025,(3+0j),(2+3j),4,2,5,3,True
1026,(3+0j),(2+4j),3,5,2,4,True
1027,(3+0j),(2+5j),2,1,3,2,True
1028,(3+0j),(2+6j),1,4,6,2,True
1029,(3+0j),(3+1j),-1,3,0,4,True
1030,(3+0j),(3+2j),-1,3,0,1,True
1031,(3+0j),(3+3j),-1,3,0,5,True
1032,(3+0j),(3+4j),-1,3,0,2,True
1033,(3+0j),(3+5j),-1,3,0,6,True
1034,(3+0j),(3+6j),-1,3,0,3,True
1035,(3+0j),(4+0j),0,0,-1,0.0,True
1036,(3+0j),(4+1j),1,4,6,4,True
1037,(3+0j),(4+2j),2,1,3,1,True
1038,(3+0j),(4+3j),3,5,2,5,True
1039,(3+0j),(4+4j),4,2,5,2,True
1040,(3+0j),(4+5j),5,6,4,6,True
1041,(3+0j),(4+6j),6,3,1,3,True
1042,(3+0j),(5+0j),0,0,-1,4.0,True
1043,(3+0j),(5+1j),4,2,5,5,True
1044,(3+0j),(5+2j),1,4,6,5,True
1045,(3+0j),(5+3j),5,6,4,3,True
1046,(3+0j),(5+4j),2,1,3,4,True
1047,(3+0j),(5+5j),6,3,1,2,True
1048,(3+0j),(5+6j),3,5,2,2,True
1049,(3+0j),(6+0j),0,0,-1,1.0,True
1050,(3+0j),(6+1j),5,6,4,0,True
1051,(3+0j),(6+2j),3,5,2,6,True
1052,(3+0j),(6+3j),1,4,6,6,True
1053,(3+0j),(6+4j),6,3,1,1,True
1054,(3+0j),(6+5j),4,2,5,1,True
1055,(3+0j),(6+6j),2,1,3,0,True
1056,(3+1j),0j,5,0,4,5,True
1057,(3+1j),1j,0,1,-1,5.0,True
1058,(3+1j),2j,2,2,3,4,True
1059,(3+1j),3j,4,3,5,5,True
1060,(3+1j),4j,6,4,1,1,True
1061,(3+1j),5j,1,5,6,1,True
1062,(3+1j),6j,3,6,2,4,True
1063,(3+1j),(1+0j),4,3,5,1,True
1064,(3+1j),(1+1j),0,1,-1,2.0,True
1065,(3+1j),(1+2j),3,6,2,1,True
1066,(3+1j),(1+3j),6,4,1,0,True
1067,(3+1j),(1+4j),2,2,3,0,True
1068,(3+1j),(1+5j),5,0,4,2,True
1069,(3+1j),(1+6j),1,5,6,2,True
1070,(3+1j),(2+0j),1,5,6,3,True
1071,(3+1j),(2+1j),0,1,-1,6.0,True
1072,(3+1j),(2+2j),6,4,1,6,True
1073,(3+1j),(2+3j),5,0,4,6,True
1074,(3+1j),(2+4j),4,3,5,4,True
1075,(3+1j),(2+5j),3,6,2,5,True
1076,(3+1j),(2+6j),2,2,3,3,True
1077,(3+1j),(3+0j),-1,3,0,4,True
1078,(3+1j),(3+2j),-1,3,0,5,True
1079,(3+1j),(3+3j),-1,3,0,2,True
1080,(3+1j),(3+4j),-1,3,0,6,True
1081,(3+1j),(3+5j),-1,3,0,3,True
1082,(3+1j),(3+6j),-1,3,0,0,True
1083,(3+1j),(4+0j),6,4,1,4,True
1084,(3+1j),(4+1j),0,1,-1,0.0,True
1085,(3+1j),(4+2j),1,5,6,5,True
1086,(3+1j),(4+3j),2,2,3,2,True
1087,(3+1j),(4+4j),3,6,2,6,True
1088,(3+1j),(4+5j),4,3,5,3,True
1089,(3+1j),(4+6j),5,0,4,0,True
1090,(3+1j),(5+0j),3,6,2,3,True
1091,(3+1j),(5+1j),0,1,-1,4.0,True
1092,(3+1j),(5+2j),4,3,5,6,True
1093,(3+1j),(5+3j),1,5,6,6,True
1094,(3+1j),(5+4j),5,0,4,4,True
1095,(3+1j),(5+5j),2,2,3,5,True
1096,(3+1j),(5+6j),6,4,1,3,True
1097,(3+1j),(6+0j),2,2,3,1,True
1098,(3+1j),(6+1j),0,1,-1,1.0,True
1099,(3+1j),(6+2j),5,0,4,1,True
1100,(3+1j),(6+3j),3,6,2,0,True
1101,(3+1j),(6+4j),1,5,6,0,True
1102,(3+1j),(6+5j),6,4,1,2,True
1103,(3+1j),(6+6j),4,3,5,2,True
1104,(3+2j),0j,3,0,2,5,True
1105,(3+2j),1j,5,1,4,6,True
1106,(3+2j),2j,0,2,-1,5.0,True
1107,(3+2j),3j,2,3,3,5,True
1108,(3+2j),4j,4,4,5,6,True
1109,(3+2j),5j,6,5,1,2,True
1110,(3+2j),6j,1,6,6,2,True
1111,(3+2j),(1+0j),1,6,6,3,True
1112,(3+2j),(1+1j),4,4,5,2,True
1113,(3+2j),(1+2j),0,2,-1,2.0,True
1114,(3+2j),(1+3j),3,0,2,2,True
1115,(3+2j),(1+4j),6,5,1,1,True
1116,(3+2j),(1+5j),2,3,3,1,True
1117,(3+2j),(1+6j),5,1,4,3,True
1118,(3+2j),(2+0j),2,3,3,4,True
1119,(3+2j),(2+1j),1,6,6,4,True
1120,(3+2j),(2+2j),0,2,-1,6.0,True
1121,(3+2j),(2+3j),6,5,1,0,True
1122,(3+2j),(2+4j),5,1,4,0,True
1123,(3+2j),(2+5j),4,4,5,5,True
1124,(3+2j),(2+6j),3,0,2,6,True
1125,(3+2j),(3+0j),-1,3,0,1,True
1126,(3+2j),(3+1j),-1,3,0,5,True
1127,(3+2j),(3+3j),-1,3,0,6,True
1128,(3+2j),(3+4j),-1,3,0,3,True
1129,(3+2j),(3+5j),-1,3,0,0,True
1130,(3+2j),(3+6j),-1,3,0,4,True
1131,(3+2j),(4+0j),5,1,4,1,True
1132,(3+2j),(4+1j),6,5,1,5,True
1133,(3+2j),(4+2j),0,2,-1,0.0,True
1134,(3+2j),(4+3j),1,6,6,6,True
1135,(3+2j),(4+4j),2,3,3,3,True
1136,(3+2j),(4+5j),3,0,2,0,True
1137,(3+2j),(4+6j),4,4,5,4,True
1138,(3+2j),(5+0j),6,5,1,4,True
1139,(3+2j),(5+1j),3,0,2,4,True
1140,(3+2j),(5+2j),0,2,-1,4.0,True
1141,(3+2j),(5+3j),4,4,5,0,True
1142,(3+2j),(5+4j),1,6,6,0,True
1143,(3+2j),(5+5j),5,1,4,5,True
1144,(3+2j),(5+6j),2,3,3,6,True
1145,(3+2j),(6+0j),4,4,5,3,True
1146,(3+2j),(6+1j),2,3,3,2,True
1147,(3+2j),(6+2j),0,2,-1,1.0,True
1148,(3+2j),(6+3j),5,1,4,2,True
1149,(3+2j),(6+4j),3,0,2,1,True
1150,(3+2j),(6+5j),1,6,6,1,True
1151,(3+2j),(6+6j),6,5,1,3,True
1152,(3+3j),0j,1,0,6,3,True
1153,(3+3j),1j,3,1,2,6,True
1154,(3+3j),2j,5,2,4,0,True
1155,(3+3j),3j,0,3,-1,5.0,True
1156,(3+3j),4j,2,4,3,6,True
1157,(3+3j),5j,4,5,5,0,True
1158,(3+3j),6j,6,6,1,3,True
1159,(3+3j),(1+0j),5,2,4,4,True
1160,(3+3j),(1+1j),1,0,6,4,True
1161,(3+3j),(1+2j),4,5,5,3,True
1162,(3+3j),(1+3j),0,3,-1,2.0,True
1163,(3+3j),(1+4j),3,1,2,3,True
1164,(3+3j),(1+5j),6,6,1,2,True
1165,(3+3j),(1+6j),2,4,3,2,True
1166,(3+3j),(2+0j),3,1,2,0,True
1167,(3+3j),(2+1j),2,4,3,5,True
1168,(3+3j),(2+2j),1,0,6,5,True
1169,(3+3j),(2+3j),0,3,-1,6.0,True
1170,(3+3j),(2+4j),6,6,1,1,True
1171,(3+3j),(2+5j),5,2,4,1,True
1172,(3+3j),(2+6j),4,5,5,6,True
1173,(3+3j),(3+0j),-1,3,0,5,True
1174,(3+3j),(3+1j),-1,3,0,2,True
1175,(3+3j),(3+2j),-1,3,0,6,True
1176,(3+3j),(3+4j),-1,3,0,0,True
1177,(3+3j),(3+5j),-1,3,0,4,True
1178,(3+3j),(3+6j),-1,3,0,1,True
1179,(3+3j),(4+0j),4,5,5,5,True
1180,(3+3j),(4+1j),5,2,4,2,True
1181,(3+3j),(4+2j),6,6,1,6,True
1182,(3+3j),(4+3j),0,3,-1,0.0,True
1183,(3+3j),(4+4j),1,0,6,0,True
1184,(3+3j),(4+5j),2,4,3,4,True
1185,(3+3j),(4+6j),3,1,2,1,True
1186,(3+3j),(5+0j),2,4,3,0,True
1187,(3+3j),(5+1j),6,6,1,5,True
1188,(3+3j),(5+2j),3,1,2,5,True
1189,(3+3j),(5+3j),0,3,-1,4.0,True
1190,(3+3j),(5+4j),4,5,5,1,True
1191,(3+3j),(5+5j),1,0,6,1,True
1192,(3+3j),(5+6j),5,2,4,6,True
